ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,APPROVED,Work_Time,AGE
5008806,0,0,0,0,112500.0,0,0,0,0,1,0,0,0,0,2.0,-4,1,3,58
5008810,1,1,0,0,270000.0,1,0,1,0,1,0,1,1,1,1.0,-4,1,8,52
5008811,1,1,0,0,270000.0,1,0,1,0,1,0,1,1,1,1.0,-4,1,8,52
5008815,0,0,0,0,270000.0,0,1,0,0,1,1,1,1,2,2.0,-4,1,2,46
5112956,0,0,0,0,270000.0,0,1,0,0,1,1,1,1,2,2.0,-4,1,2,46
5008823,0,0,0,0,135000.0,1,0,0,0,1,0,0,0,1,2.0,-4,1,3,48
5008825,1,0,1,0,130500.0,0,2,0,0,1,0,0,0,2,2.0,-4,1,3,29
5008826,1,0,1,0,130500.0,0,2,0,0,1,0,0,0,2,2.0,-4,1,3,29
5008830,1,1,0,0,157500.0,0,0,0,0,1,0,1,0,3,2.0,-4,1,4,27
5008831,1,1,0,0,157500.0,0,0,0,0,1,0,1,0,3,2.0,-4,1,4,27
5008832,1,1,0,0,157500.0,0,0,0,0,1,0,1,0,3,2.0,-4,1,4,27
5008837,0,0,0,3,270000.0,0,0,0,0,1,0,0,0,3,5.0,-4,1,3,34
5008839,0,1,0,1,405000.0,1,1,0,0,1,0,0,0,1,3.0,-4,1,5,32
5008840,0,1,0,1,405000.0,1,1,0,0,1,0,0,0,1,3.0,-4,1,5,32
5008842,0,1,0,1,405000.0,1,1,0,0,1,0,0,0,1,3.0,-4,1,5,32
5008843,0,1,0,1,405000.0,1,1,0,0,1,0,0,0,1,3.0,-4,1,5,32
5008846,0,0,0,0,112500.0,1,0,0,0,1,0,1,0,1,2.0,-4,1,12,56
5008850,0,0,0,0,112500.0,1,0,0,0,1,0,1,0,1,2.0,-4,1,12,56
5008851,0,0,0,0,112500.0,1,0,0,0,1,0,1,0,1,2.0,-4,1,12,56
5008855,1,0,0,2,135000.0,0,0,0,0,1,0,0,0,3,4.0,-4,1,8,43
5008858,1,0,0,2,135000.0,0,0,0,0,1,0,0,0,3,4.0,-4,1,8,43
5008859,1,0,0,2,135000.0,0,0,0,0,1,0,0,0,3,4.0,-4,1,8,43
5008868,1,1,0,1,211500.0,2,0,2,0,1,0,0,0,4,3.0,-4,1,19,44
5008872,0,0,0,0,360000.0,1,0,0,0,1,0,1,0,1,2.0,-4,1,14,45
5008873,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008874,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008875,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008876,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008877,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008879,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008880,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008881,1,1,0,2,126000.0,1,1,0,0,1,0,0,1,1,4.0,-4,1,4,34
5008891,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008893,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008894,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008895,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008906,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008908,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008910,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008912,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008913,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008914,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008915,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
5008916,1,1,0,0,297000.0,1,0,1,1,1,0,0,0,1,1.0,-4,1,8,42
