Classification Method,Data Process Method,Accuracy,Precision,Recall,F1 Score,Negative Accuracy
LightGBM for VAE data,Original Data,0.977,0.977,1.0,0.988,0.0
LightGBM for VAE data,Over-sampled Data,0.795,0.979,0.808,0.885,0.337
LightGBM for VAE data,Under-sampled Data,0.483,0.983,0.479,0.644,0.567
LightGBM for VAE data,Tomelinks Data,0.977,0.977,1.0,0.988,0.0
LightGBM for VAE data,SMOTE Data,0.635,0.978,0.641,0.774,0.617
SVM for VAE data,Original Data,0.977,0.977,1.0,0.988,0.0
SVM for VAE data,Over-sampled Data,0.768,0.981,0.778,0.868,0.547
SVM for VAE data,Under-sampled Data,0.485,0.98,0.483,0.647,0.68
SVM for VAE data,Tomelinks Data,0.977,0.977,1.0,0.988,0.0
SVM for VAE data,SMOTE Data,0.681,0.978,0.689,0.809,0.653
AdaBoost for Decision Tree,Original Data,0.977,0.977,1.0,0.988,0.0
AdaBoost for Decision Tree,Over-sampled Data,0.66,0.977,0.668,0.794,0.467
AdaBoost for Decision Tree,Under-sampled Data,0.52,0.983,0.517,0.678,0.643
AdaBoost for Decision Tree,Tomelinks Data,0.977,0.977,0.999,0.988,0.0
AdaBoost for Decision Tree,SMOTE Data,0.57,0.976,0.574,0.723,0.56
Stacking Ensemble Model for AdaBoost and LightGBM,Under-sampled Data,0.57,0.976,0.574,0.723,0.523
Voting Ensemble Model for AdaBoost and LightGBM,Under-sampled Data,0.57,0.976,0.574,0.723,0.603
Anomaly Detection with VAE,Original Data,0.977,0.977,1.0,0.988,0.0
Anomaly Detection with VAE,Over-sampled Data,0.977,0.977,1.0,0.988,0.0
Anomaly Detection with VAE,Under-sampled Data,0.977,0.977,1.0,0.988,0.0
Anomaly Detection with VAE,Tomelinks Data,0.977,0.977,1.0,0.988,0.0
Anomaly Detection with VAE,SMOTE Data,0.977,0.977,1.0,0.988,0.0
